"","Sector","Month","sum_val","date","date1"
"1","Health","2020-01",121.531614,"2020-01-01",2020-01-01
"2","Health","2020-02",29.260961,"2020-02-01",2020-02-01
"3","Health","2020-03",304.144188,"2020-03-01",2020-03-01
"4","Health","2020-04",506.82314,"2020-04-01",2020-04-01
"5","Health","2020-05",1210.156095,"2020-05-01",2020-05-01
"6","Health","2020-06",8231.10905,"2020-06-01",2020-06-01
"7","Health","2020-07",892.397043,"2020-07-01",2020-07-01
"8","Health","2020-08",822.450117,"2020-08-01",2020-08-01
"9","Health","2020-09",1560.520985,"2020-09-01",2020-09-01
"10","Health","2020-10",381.01305,"2020-10-01",2020-10-01
"11","Health","2020-11",359.985662,"2020-11-01",2020-11-01
"12","Health","2020-12",2983.753482,"2020-12-01",2020-12-01
"13","Health","2021-01",276.600596,"2021-01-01",2021-01-01
"14","Health","2021-02",381.973914,"2021-02-01",2021-02-01
"15","Health","2021-03",6565.332424,"2021-03-01",2021-03-01
"16","Health","2021-04",371.201313,"2021-04-01",2021-04-01
"17","Health","2021-05",1253.125875,"2021-05-01",2021-05-01
"18","Health","2021-06",489.923943,"2021-06-01",2021-06-01
"19","Health","2021-07",0.071875,"2021-07-01",2021-07-01
