Month,Net new commitments
#date+month,#value+net
2020-01,21512604
2020-02,11795174
2020-03,356451850
2020-04,217593733
2020-05,163318550
2020-06,2249154307
2020-07,709932801
2020-08,552011819
2020-09,1384769952
2020-10,395225258
2020-11,298159666
2020-12,2472239012
2021-01,325068046
2021-02,467085341
2021-03,3424251003
2021-04,646347143
2021-05,229442963
2021-06,1949534705
2021-07,4637021770
2021-08,444749674
2021-09,7363300
