country,commitments,spending,deficit
Egypt,3444496530,360969199,3083527331
Brazil,3049360136,125174067,2924186069
Turkey,2508825341,508496728,2000328613
Nigeria,2138551236,513683240,1624867996
Indonesia,3516206410,2131980859,1384225551
Pakistan,3657309058,2279467054,1377842004
Argentina,1732779145,447039110,1285740035
Ethiopia,2418214475,1172635000,1245579475
India,6149974665,4910576574,1239398091
Bangladesh,2921429556,1711831090,1209598466
